Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-06-13,AXISBANK,507.5,509,512.3,505.5,507,506.45,508.42,2181945,110934860865000,51764,950074,0.4354
2017-06-14,AXISBANK,506.45,509,510.9,501.55,508.85,509.5,507.45,4648343,235882439119999,66054,2697523,0.5803
2017-06-15,AXISBANK,509.5,508.85,509.3,504,507.4,507.6,506.77,3425367,173586732680000,58545,2109450,0.6158
2017-06-16,AXISBANK,507.6,507.65,514.3,507.5,509.15,510.45,510.27,4999502,255109021215000,56697,2959675,0.592
2017-06-19,AXISBANK,510.45,511,525.35,509.3,518,520.15,517.27,6844723,354056081415000,70602,3499580,0.5113
2017-06-20,AXISBANK,520.15,520.2,521.7,510.5,512.95,511.85,515.15,4388846,226092345980000,55076,2203975,0.5022
2017-06-21,AXISBANK,511.85,511.05,512.5,506.75,507.35,507.75,509.19,4346995,221346612265000,73840,2500935,0.5753
2017-06-22,AXISBANK,507.75,508.9,514.45,506.65,508,508,510.48,3463745,176816663730000,67487,1707367,0.4929
2017-06-23,AXISBANK,508,509.6,510.45,503.65,505,504.65,506.14,3548884,179624762315000,55281,1827409,0.5149
2017-06-27,AXISBANK,504.65,506,506.7,484.45,494,492.85,491.01,9842829,483288769639999,110049,6251831,0.6352
2017-06-28,AXISBANK,492.85,493.8,500.35,490.05,496.45,492,493.28,12691859,626065680625000,76061,10038114,0.7909
2017-06-29,AXISBANK,492,498,514.4,497.7,510.7,512.1,510.39,11855524,605088186595000,96263,4570578,0.3855
2017-06-30,AXISBANK,512.1,510.6,520,508.1,519,517.35,513.68,7600005,390395996735000,70339,3757896,0.4945
2017-07-03,AXISBANK,517.35,517.1,521.8,515,517,517.25,518.62,3701949,191989952230000,50518,1560626,0.4216
2017-07-04,AXISBANK,517.25,516.8,517.55,506.55,507.7,508.4,510.84,4086213,208741111505000,44090,2037542,0.4986
2017-07-05,AXISBANK,508.4,507.75,515.4,507.75,514.55,513.9,512.56,3154406,161682919080000,45895,1393508,0.4418
2017-07-06,AXISBANK,513.9,511,512.85,508.15,509.45,509.5,510.69,3514758,179494443525000,29962,1894962,0.5391
2017-07-07,AXISBANK,509.5,508.25,508.95,501.25,504.5,503.15,504.92,3509920,177224112910000,69429,1645142,0.4687
2017-07-10,AXISBANK,503.15,521,529.75,506.7,510,509.95,510.48,1245716,63591488460000,7548,768768,0.6171
2017-07-11,AXISBANK,509.95,512,512.4,505.8,507.8,506.8,508.44,3928279,199728916935000,71571,2473178,0.6296
2017-07-12,AXISBANK,506.8,508.9,509.9,504.2,507.3,506.75,506.27,5504892,278695608719999,70653,4230384,0.7685
